algorithm,inputSize,balance,mode,searchValue,found,duplicates, timeMs,comparisons,log n
Binary Search  ,100000,3,search,203,TRUE,TRUE,32,6,16.60964047
Binary Search  ,250000,3,search,196754,FALSE,TRUE,53,18,17.93156857
Binary Search  ,500000,3,search,840278,FALSE,TRUE,94,19,18.93156857
Binary Search  ,750000,3,search,248820,TRUE,TRUE,158,15,19.51653107
Binary Search  ,1000000,3,search,810884,FALSE,TRUE,118,20,19.93156857
Binary Search  ,1000000,3,search,500000,FALSE,TRUE,81,20,19.93156857
Binary Search  ,1000000,3,search,500000,TRUE,FALSE,184,19,19.93156857
Binary Search  ,1000000,3,search,499999,TRUE,FALSE,193,1,19.93156857
Binary Search  ,1500000,3,search,810835,TRUE,FALSE,352,20,20.51653107
Binary Search  ,1500000,3,search,217844,TRUE,FALSE,278,19,20.51653107
Binary Search  ,2000000,3,search,1723765,TRUE,FALSE,398,19,20.93156857
Binary Search  ,1000000,3,search,1723765,FALSE,FALSE,204,20,19.93156857
