algorithm,inputSize,balance,mode,duplicates, timeMs,comparisons,swaps,copies,n^2,n log n
Insertion Sort,100000,3,sort,TRUE,3676,2492041246,99999,0,10000000000,1660964.047
Insertion Sort,250000,3,sort,TRUE,21095,15610027787,249999,0,62500000000,4482892.142
Insertion Sort,500000,3,sort,TRUE,83506,62432179176,499999,0,2.50E+11,9465784.285
Insertion Sort,750000,3,sort,TRUE,178581,1.40E+11,749999,0,5.63E+11,14637398.3
Insertion Sort,1000000,3,sort,TRUE,105623,2.50E+11,999999,0,1.00E+12,19931568.57
Insertion Sort,1500000,3,sort,TRUE,251505,5.61E+11,1499999,0,2.25E+12,30774796.61
Insertion Sort,2000000,3,sort,TRUE,492744,9.98E+11,1999999,0,4.00E+12,41863137.14
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Insertion Sort,1000000,3,sort,TRUE,4,999999,999999,0,1.00E+12,9
Insertion Sort,1000000,3,sort,TRUE,230676,5.00E+11,999999,0,1.00E+12,9
